gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.95038563	1.0482591	-0.68348694	0.41843805
Zdhhc12	1.5030559	1.3249395	1.692219	1.5205799
Ly6i	0.010277939	-0.569665	0.64463603	0.76706326
Trmt11	2.1918097	2.053107	2.2615452	2.1279573
Nckap5l	2.1204228	1.8404635	2.031951	1.8134341
Sec24d	3.0735097	2.4919543	3.0419278	3.0732188
Lama5	1.3825864	1.7860911	2.14036	1.4922878
4930563E22Rik	1.1159912	1.1783775	1.3828521	1.1034228
Laptm5	1.1266892	1.2847275	-0.78956944	1.1552962
Mpig6b	0.32191414	0.18562093	0.15060084	-0.24282147
Zfp622	2.6552744	2.4294214	2.7658525	2.4321012
Slc9b1	0.24038737	0.19568302	0.569508	0.36015704
Phactr2	2.8433788	2.9085634	2.6732507	2.754259
Coq2	2.553335	2.3497689	2.9918125	2.650083
Syt3	0.71408135	1.2637738	1.574292	1.354702
4833408A19Rik	1.599175	1.1606404	1.5669538	1.2125075
Gm43403	0.29458892	0.80246174	0.52574116	0.65707165
Shisal1	-0.9267253	1.1035843	1.1441271	0.53579015
Arhgap39	1.7193358	1.2781116	1.6775732	1.6224698
Zfp667	1.9666493	2.0604665	2.0238793	1.9601325
Tmem74	-0.16436924	0.2188386	-0.22413541	-0.102585055
9330159M07Rik	1.0027248	1.5077536	2.1001117	1.6235518
Ccdc34	2.9401	2.8999367	3.0358124	2.85375
Dlg4	2.775722	2.5714526	2.8039167	2.5536969
Fam241b	0.3513796	0.9473476	0.8918936	0.4700643
Pak2	3.0446515	3.011705	3.1222003	2.9397326
Ndufb11	3.4044588	3.331156	3.396263	3.2035544
Pex19	2.4036582	2.69871	2.7673476	2.6421332
Shpk	1.628738	1.5355977	1.7688837	0.43040305
Oxsm	1.5188423	1.7665584	1.9817283	1.7384677
Kif9	0.87185776	0.28709564	1.1519878	0.7962574
Aqr	2.660597	2.367471	2.826414	2.6179214
Alg12	2.1861773	1.3928099	2.29577	1.2110326
Gm48657	-0.47114012	-0.28613436	0.82268757	-0.36919948
Pfdn6	2.8088624	2.8147964	3.0176015	3.0818622
D830050J10Rik	2.274283	2.039359	2.3714323	1.6875405
Smpd2	2.7149222	2.3221858	2.625507	2.0125463
Shank3	1.2856296	1.1810868	1.3590167	1.2000524
2810004N23Rik	2.6440327	2.5567687	2.8515306	2.4325852
Zrsr1	2.5081756	2.2758007	2.6532476	2.1244872
Mcm7	2.0500777	2.203276	2.122749	2.2767189
Abhd6	1.999861	1.7659655	2.145818	1.706226
Tnfrsf19	-0.17905524	-0.074579805	-0.22572726	0.42294982
Kif27	0.41944072	-0.22915472	-0.52170116	0.25978872
Gsta1	-0.47310007	0.4798132	0.46681988	-0.34538555
Fendrr	1.4710574	1.3900535	0.5660461	1.2521391
Slc25a51	2.5652952	2.4911544	3.0095308	2.663765
Kat7	2.6178746	2.584697	2.0512283	2.5363297
Chrm1	-0.36775818	0.38917333	0.6699779	-0.26490197
Stag3	0.12546554	-0.3682681	0.77753556	0.5501828
Unk	1.8960726	1.8665551	2.373302	2.0411687
Ampd1	0.5587832	0.6577339	1.1088362	-0.13646126
Cbr2	1.4567764	1.6950692	1.3292327	-0.13396811
Agpat4	3.0042717	2.5052483	2.9043539	2.6881192
Ampd2	2.653832	2.3976986	2.7766962	2.386777
Btbd1	2.9600158	2.2726731	2.9953778	2.3238783
Abca2	2.5610642	2.4978864	2.9242318	1.9033209
Asb3	2.3163986	2.3066027	2.632427	2.561497
Vac14	1.7877821	1.8005862	2.2641468	1.6588607
Rdh10	2.287673	2.1008198	2.36122	1.9644331
Ptpn22	0.30459073	-0.30192786	0.64246005	0.41285288
Wdr31	0.44933948	0.7318829	-0.32860547	0.12348632
Sec23b	2.8189774	1.9772408	2.983145	1.5235231
Gm26760	0.26087096	0.5138967	0.0209862	-0.34746876
Fbrs	2.519795	2.0792406	2.542025	2.3830388
Pdrg1	2.6076243	2.86217	2.9599998	2.6609447
Plagl2	1.7471919	1.7669482	2.0968142	1.821849
Adam23	2.2191892	1.7501183	2.353249	1.7453642
Igf2bp1	0.64594984	0.6132581	0.69425035	-0.5773681
Rwdd2a	1.1593748	1.5213205	1.8601317	1.4712241
Ghitm	3.0139098	3.0331168	3.0828779	2.6666121
Gm16537	-0.5544979	0.46603772	0.6067041	0.16441658
Olfr1392	-0.16113493	-0.08497673	0.26838478	0.40860906
P2ry1	2.2809625	1.9623841	1.8572851	1.4539
Gm9913	1.2926805	1.301049	1.554506	1.2066733
Gng4	1.2411443	0.91679716	1.1727993	0.20244312
Cd300lb	0.21285352	-0.033250593	-0.09232691	-0.03566396
Eps8l2	-0.35744405	0.51023453	0.9054926	0.8575787
Ash1l	2.9785466	2.9881282	3.028866	3.0002437
Bmp6	-0.46027187	1.1827289	1.4645315	1.1404408
Actl6a	2.2967172	2.5107236	2.7896895	2.2779255
Ccdc47	2.808336	2.9314842	3.0835104	2.9441075
Gm33474	-0.24287257	0.5067451	0.21120635	-0.19048136
Pcbp2	3.2870193	3.3063502	3.1774662	3.0861034
Tmem163	0.56376123	-0.17657752	-0.39694387	-0.20659222
Gm9908	0.541084	-0.06669302	1.1716505	0.5427827
Ttll4	2.095356	1.798633	1.8183333	1.9100906
Asxl1	2.4473019	2.3003678	2.3783052	2.2648335
Eapp	2.87693	2.9690056	3.117688	2.418753
Gm45890	-0.6101392	0.6907977	1.0872288	0.6798328
Unc13a	0.06962724	-0.36700255	0.482063	0.59015155
Gabrr2	0.33978555	0.55648774	0.18215187	0.22228546
Cyp20a1	2.7681627	2.7852407	3.1565728	2.445732
Ubtd2	2.654835	2.514308	2.7917314	2.5894794
Wwc2	2.7948258	2.9430223	3.0742352	2.812009
Txnrd1	2.8543305	2.4184902	2.67696	2.7760699
Mob1a	2.7297778	2.7251196	2.9050202	3.0151567
Ripply3	0.65921277	1.2466406	1.0167758	0.4233859
Cpne7	1.9542563	1.5125899	1.0412291	0.8378545
Slc16a1	1.9771594	2.141066	2.6400356	1.6206055
Srsf4	2.7975593	2.4089155	2.779555	2.3347275
Mss51	1.4929655	1.2291096	1.8164275	1.4703077
Akr1c19	1.2965255	-1.2025363	1.303421	1.1262528
Rapgef6	2.6077518	2.7121897	2.591508	3.0968895
B130046B21Rik	0.22319315	-0.3728622	0.6765383	0.5968579
Gm14325	1.0844102	1.457699	1.8391718	1.5950218
Sox17	-0.06258286	-0.038921025	-0.095820345	0.48082295
Ilf3	2.8114722	2.442794	2.640033	2.2265742
Exog	1.760193	1.2587878	1.9224294	1.7434661
Kansl2	2.6054003	2.32749	2.6842613	2.4085326
Iqsec1	2.772233	2.6328387	2.973523	2.414467
Rnaset2b	2.9824324	2.5702367	2.367271	2.7495816
Ssu2	-0.07379373	-0.02842094	0.1498864	-0.04975173
Lrrc40	2.0583444	1.2863585	2.2993383	1.9508847
Fjx1	1.7787151	1.307752	1.9502428	1.5991379
Gm45464	1.2680323	1.0378985	1.6480329	0.89557153
Tubgcp4	2.5563781	2.243598	2.3692195	2.2817047
Thap4	2.3547578	1.615728	2.367226	2.1795425
Helz2	2.406913	2.0073102	1.9974741	2.1446698
Gm10037	0.80327016	0.84203756	1.1257242	0.52236205
Cstf2t	2.4652345	2.3797803	2.0893018	2.3443
Zfp772	0.81088746	1.6043955	1.7426841	1.5317384
Ly6k	0.30275196	1.299625	1.6964965	1.6308851
Pp2d1	0.5532408	-0.2172477	0.18445906	0.5180181
Gm19569	0.23191287	-0.043793075	-0.0907755	-0.049551256
Gm11613	0.6743398	0.74428624	0.74668646	0.7471301
Gm49698	0.27898175	-0.21466354	0.60155153	0.21645854
Pdlim3	1.6055794	2.2233238	2.6134756	2.144062
Ppp2r1a	2.9259505	2.879603	3.056564	2.6211312
2810405F17Rik	1.4053129	1.3621075	1.4647851	1.4808452
Apaf1	2.3662665	1.8646361	2.6160457	2.4427402
Ocrl	2.3767648	2.1953168	2.5083332	2.5326724
Dnlz	3.0217605	2.830904	3.20231	2.9106653
Fbxo7	2.2140424	2.1683538	2.3564217	1.9987407
Wnt11	2.1922903	1.8178725	2.1353407	2.0309935
Ghrh	-0.06991371	0.19708173	-0.09223915	-0.04302506
Casq2	-0.078090385	-0.04206491	0.4169877	-0.04721896
Gm17216	1.4070169	0.99136436	0.052519143	1.3096188
Crybb3	1.5180978	1.5288397	2.0042179	1.4928457
Atp13a2	2.3141282	1.8052119	2.601552	1.6907698
Olfr921	0.9016101	-0.801792	1.0378284	0.9306131
Tsen34	3.0333364	3.0544686	3.1971447	2.8899722
Manba	2.5489252	2.3189523	2.7683165	1.7129409
Fbxo27	1.4408144	1.6165811	1.6014314	0.2585147
Vangl2	1.4696407	1.6305845	1.9679115	1.7770755
Tmeff2	2.8921244	2.8657997	2.8545096	2.1714919
Gm34099	-0.17455435	-0.070559226	0.51228285	0.38828567
Armcx4	2.385293	2.1530237	2.3860545	2.2006865
Dmxl1	2.6672854	2.8106313	2.8908868	2.737448
Wdr24	1.7470086	1.6209193	2.157837	1.5664892
Rps14	3.2152712	3.3575394	3.3332925	3.3871105
Meak7	1.5143892	1.2840449	1.4472184	1.3747226
Dio3os	0.79887974	-1.2758026	1.0310185	1.1855278
Med23	2.2336195	2.2167287	2.5149903	2.2787898
Tlr6	0.86347646	0.31858027	1.123049	0.13898611
Xirp1	0.12938447	0.51073635	0.49488324	-0.571328
Srd5a3	2.4914367	2.3656113	2.8301277	2.2691903
Psma2	3.287476	3.1831465	3.3394475	2.9042192
Tada3	2.579994	2.135151	2.862489	2.2151806
Gm12108	-0.07664276	-0.041074954	0.27046227	-0.044878427
Slc38a1	1.0379661	1.8779396	2.3293705	1.1153903
Capg	3.1265955	3.1059515	3.260144	2.7790813
Dctd	0.8943456	0.53823	1.0154229	0.47165242
Hyal1	2.2516732	1.9196028	2.1915426	2.1082864
Zmym6	1.9287165	1.6695212	0.9176884	1.8627372
Gm20627	0.80942667	0.38590324	-0.24706198	0.5787605
Sf3b6	3.3178942	3.1335883	3.140898	3.1343708
Jaml	0.9667606	0.22127093	0.46636605	-0.503924
Tmem138	1.9321856	1.9041992	2.7428317	2.4064398
E130317F20Rik	1.4108887	1.3320115	0.9506927	1.4382411
Lnpep	2.825968	3.0302327	2.9875891	2.969829
Gm15927	0.21821246	0.36277434	0.2147883	0.77708584
Bloc1s6os	0.19840503	0.5347906	1.0415852	1.0451193
Hemk1	1.0711433	1.3623239	1.7208416	1.4092494
Haghl	2.2661307	2.4673243	2.829376	2.254079
Phf2	2.5538208	2.5567849	2.8314788	2.4239106
Gm29017	-0.0689028	-0.040591706	0.25735435	-0.034000758
Best2	-0.23924847	0.46563765	0.3353832	-0.18004608
Tnxb	3.1178656	2.9109025	3.4041002	2.4335113
Lat2	0.63925	-0.28319737	0.17576632	-0.34237424
Atg4b	2.625131	2.4116497	2.7188332	1.9100499
Cnih4	3.1183834	2.9598048	3.3100045	2.7116249
Ate1	2.8185303	2.7836244	2.7948525	2.8072493
Acp2	2.5442638	2.370544	2.8033268	2.4379718
Gm15915	0.14033803	0.13427909	0.3974697	0.90379447
Llgl2	0.16254583	1.0304084	1.1309267	0.50878936
Atp6v1fnb	-0.1720468	-0.08045378	0.36365348	0.26799726
Nkapd1	2.1473427	2.62317	2.6676803	2.6288512
Gm11707	-0.08543595	-0.03734948	0.3674172	-0.044286262
Mpdz	2.6608748	2.822478	3.0513015	2.6629975
Tead2	2.0261676	1.7898588	2.1728716	1.8899102
Rhpn1	0.13038826	-0.043395564	-0.078135215	-0.0520421
Col4a1	3.107706	2.3079827	3.3892016	2.0213413
Fbxo11	2.8618267	2.7922132	2.8738084	2.8957107
1600020E01Rik	2.432687	2.1933742	2.2167487	2.4010413
Pcgf5	2.5009964	2.6021945	2.7950602	2.342549
Urgcp	2.4965215	2.2767224	2.7370698	2.0640354
Fktn	2.3241162	1.8287344	2.689372	2.6010969
Als2cl	1.2043731	0.2397546	-0.8024523	0.48240903
Eno4	0.483762	-0.0769942	-0.22414319	-0.116251566
Car5b	1.882716	2.154471	2.4372663	2.2770882
Ifrd2	2.176902	1.9794967	2.481931	2.0207953
A930012O16Rik	0.72013384	0.69278795	0.26658636	0.670239
Gm49256	-0.16101553	0.29667133	0.5129041	-0.11514027
Pon1	-1.5701219	-1.4435815	1.902116	-1.4839768
Txnl4a	3.0878785	2.0345008	3.223289	2.5020995
Mrpl21	3.0090516	2.789622	3.1957088	2.6525784
Fam89b	2.9943326	2.6996422	3.2041557	2.755455
Gle1	2.727973	2.3302774	2.7691498	2.6857874
Dap3	2.8829694	2.5619323	2.8240273	2.816267
Ces2c	0.59062755	-0.07357002	-0.22272362	-0.12567692
Edem3	2.4783623	2.1850448	2.688784	2.5142112
Card19	3.0661104	2.9172137	3.1247044	2.584979
Htr1b	0.35937583	-0.55830115	1.1341748	0.08468549
Tpmt	1.7269642	1.9921259	2.4256554	2.1313598
Mospd2	2.6665103	2.6256075	2.7035391	2.7562022
Nfyb	2.7422972	2.6866055	2.7316043	2.528876
Rrp15	2.5957942	2.3107393	2.7864754	2.259914
March10	-0.063322216	-0.0356996	0.45671022	-0.041587252
Gbp6	2.0310907	1.8052775	1.6857946	2.1405404
Gata5	0.7089152	0.20123777	0.58766335	-0.59232277
F730311O21Rik	0.3985933	0.44511816	0.5395484	0.27179876
Map2k4	2.1800315	2.5353224	2.5137866	2.3927443
Vmn1r4	0.41786006	0.4163933	-0.53498757	0.31816047
Serpina1e	-0.07358125	-0.042344466	0.45983744	-0.03952201
Ncl	3.0402293	3.284463	3.1829913	3.2148345
Slc7a13	0.4716803	-0.074550994	0.43171287	-0.11636834
Il1r2	1.049703	0.69765526	1.2960386	1.2063675
Mst1r	1.9578874	1.8709126	2.1645603	1.1244198
Sept6	2.371496	2.0302227	2.2403212	2.2039895
Pcyt1b	0.33083346	0.43796825	-0.5279834	0.28080505
Adam5	1.923658	1.846416	1.7568413	2.1231716
Bfsp2	1.7971404	0.8398946	1.4940559	0.40562266
Cldn10	3.044174	1.9057854	3.238231	2.3249726
Gm41496	0.22458214	-0.039050583	-0.08697848	-0.04764291
4930479D17Rik	0.14005986	-0.21842137	0.4502866	0.21709494
Kif24	0.7818833	-0.28324828	0.12793669	0.25137064
Map3k13	1.3087987	0.5318488	-0.9275464	0.90836775
Bpifc	0.3192994	-0.041243073	-0.08635357	-0.048254874
Slco1b2	-0.07296626	-0.029345505	0.29747888	-0.03660118
Fancc	2.5107825	2.1150994	2.7121644	2.2869601
Pde1b	0.43636188	1.1905813	1.1636932	1.1555897
Gm5148	0.42245224	-0.07904433	-0.22076696	0.2727484
Lrrn4	1.7844646	1.7083052	0.88709503	-1.3304379
Rufy2	2.7199972	2.5698166	2.098244	2.5661178
Cdc42se1	2.7995594	2.6529782	2.7287626	2.5587091
A630023P12Rik	0.33713165	-0.16657901	0.5900698	-0.19087696
Ccer2	0.21721418	-0.037462704	-0.09819182	-0.044114023
Tyr	0.1941255	-0.25814784	-0.06057495	0.697773
Mif4gd	2.9132214	2.3898497	2.883473	2.434295
Ghrl	0.48160127	-0.21267352	-0.5296838	0.12288125
Riok3	2.895848	2.7045264	2.8678255	2.3781219
Gm49201	0.60187864	0.52328134	0.6044646	0.5755958
Gm49422	-0.25210738	0.43460438	0.65878415	-0.19075675
Glra1	1.5076277	1.3025827	1.7083609	1.4776644
Cwf19l2	2.7721493	2.8286088	2.8083715	2.8732264
Usf3	2.231316	2.3346145	2.5275948	1.978265
Ptp4a1	1.3235556	1.2532828	1.4214005	1.9838647
Psmb9	2.7574902	2.569151	2.5011008	2.6379244
Prdm11	1.6274196	1.1906452	1.9516433	1.5138636
Yjefn3	1.6170003	1.4618459	2.1009104	1.3171339
Hrk	0.3279421	-0.16996765	0.12343395	-0.1769277
Rslcan18	-0.54797435	0.42173716	0.62993175	0.26035514
Tm6sf2	0.74833983	0.5373517	-0.6465795	0.9191139
Gm49335	0.04862785	0.31822863	0.83826977	-0.34837097
Tmem231	1.8115476	1.507284	2.0247185	1.5342741
Dcaf11	2.5838988	2.5326836	2.7081058	2.26881
Zmat1	2.2583084	1.9248835	2.335793	2.2466645
Map1a	2.8716671	2.6531484	2.739497	2.3175883
Gm47289	-0.06501763	-0.038532946	0.3392431	-0.046475556
Setd2	2.297892	2.7920296	2.765684	2.875118
Onecut3	-0.15549238	-0.089659244	0.18718527	0.29563153
Gm15558	0.24194063	0.41984287	-0.22429869	-0.10632303
Gm30015	0.40071774	0.7196333	0.17066872	0.71378565
Ints8	2.618389	2.2685158	2.3316991	2.5361447
Ccnt2	2.5723	2.4893835	2.7682047	2.1847398
Ccdc142	0.18263268	0.007091782	0.8467249	0.95182884
Fibp	2.8380296	2.7468529	2.865906	2.7869036
Gm19265	0.3704604	0.5761139	-0.5346468	0.2765361
Smc1b	0.3147459	-0.07813144	0.46370494	-0.0982682
Gm13840	-0.47278717	-0.2768816	0.70675135	-0.3699472
Pla2g4f	-0.17260139	-0.07872568	0.33314526	0.189525
Birc6	2.8221784	2.4174	2.9995415	2.967019
Slc9a8	2.2155614	2.1696067	2.3625402	1.9103862
Pcdhb7	1.1145152	1.2327858	1.7911067	1.3218317
Sorbs2os	0.4236367	-0.07854713	0.08884328	-0.10520906
A930005H10Rik	1.9999228	1.8709213	2.0775754	2.015016
Ccdc186	2.7539902	2.635092	2.9123192	2.9479566
Gm37634	0.7382466	0.27593526	0.21967995	1.0768715
Gm15201	-0.16512384	-0.06879869	-0.2228462	0.36852378
Txn1	3.247912	3.282918	3.358499	3.2280586
Xaf1	2.3910325	2.6606424	2.55701	2.7513707
Gm28417	-0.2510291	0.33284187	0.43319485	-0.177954
Mtmr10	2.4184241	2.1136715	2.2613375	2.278607
Itga2	1.2024037	1.6842203	1.7815714	2.0151598
Tmsb4x	3.1298761	3.3055358	3.14896	3.122395
Eef1aknmt	1.7986946	1.5985246	2.0636837	0.4241692
Gm45463	0.66535115	0.24083963	-0.5295636	-0.2746733
Rabif	2.431221	1.9008616	2.6883044	2.245654
Prrg2	2.3045373	2.0971873	2.4215803	2.0771897
Trim11	2.2847357	2.2732284	2.2269652	2.16596
Zan	-0.16875237	0.29477736	-0.23614432	0.43651846
Gars	2.805457	2.625087	2.9521723	2.6582606
Casq1	0.84013504	1.0635442	1.3822663	0.9329159
Maml2	2.5601962	2.5956218	2.615874	2.6127992
Gm15319	-0.237944	-0.17618152	-0.38905346	0.34029332
Zfp184	0.9502534	0.9442342	0.29321373	0.81913066
Gm16006	0.5902881	-0.10010039	0.6748857	0.43012223
Ccdc30	0.90628344	1.2091306	1.6485667	1.3844001
Cisd3	2.355978	2.108853	2.3523505	2.082795
Tmbim6	3.174831	3.159008	3.290438	3.1253011
Gm47956	0.2220155	0.26225734	0.52618057	0.26811162
Tmpo	2.9967315	2.820602	2.7972846	3.025553
Mfn2	2.558712	2.4757676	2.79599	2.0863457
Gm14022	-0.07472371	-0.029841663	0.28005514	-0.032926798
Cenps	1.0944138	0.74676085	1.1670556	1.0959224
Mea1	3.0603647	2.4791417	3.198187	2.0941298
Pif1	0.38829315	-0.032343894	-0.084614426	-0.0467342
Tbl3	2.2482708	1.6937035	2.5830512	1.6982216
Tmem14c	3.2239625	2.9999743	3.3285067	3.066205
F2rl2	-0.24847765	0.4213643	0.42602068	-0.18896233
Dgat2l6	-0.24272554	-0.16441222	0.10229084	0.36513072
Psmc1	3.052172	2.6257832	3.0100563	2.6486726
Notch1	2.3805468	1.9918483	1.7067038	2.032761
Fam210a	2.2507584	2.3655858	2.6968758	2.112699
Nfam1	-0.3624593	0.4740592	-0.5251097	-0.24377197
Bmp8a	1.1956196	0.44977114	0.62246215	-0.80897355
Bub1	0.7394936	-0.3601335	-0.8148975	-0.43841028
Ttc23	2.1969213	2.0238526	2.3216956	2.122756
Ano8	1.684304	1.4098265	2.2432308	1.5073884
Txnrd3	2.1446376	1.5705346	2.470989	1.8255401
Mmrn1	0.6083299	-0.17245668	0.3419332	-0.19180301
0610040B10Rik	1.2299229	1.1391786	1.3061187	0.989129
Dlgap4	2.955189	3.005012	3.1143389	2.8138015
Dus2	2.180553	1.768197	2.2483053	1.7479193
Prorsd1	2.751658	2.7927566	3.0389621	2.8322632
Cep350	2.4429424	2.5663939	2.5347733	2.706314
Gm47163	1.4409477	1.4702424	1.6691074	1.3719878
Mlkl	2.2051742	1.7750723	2.3351166	1.7022502
Chka	2.8430295	2.2559755	2.709774	2.4572716
Qk	3.0190206	3.0301635	2.9982643	2.9592338
Arhgap1	2.616114	2.6431584	2.9411736	2.6919463
Zfp958	1.8138518	1.3834656	2.105274	1.7655796
Ddx46	2.8314161	2.6952288	2.8903875	2.9363205
Tmem52	1.7056215	1.5952384	1.9917605	1.2666563
8030456M14Rik	1.1102431	0.77337795	0.10151254	0.94029486
Zfyve9	2.710763	2.6991107	2.519814	2.4040935
Zfp945	2.513464	2.6117136	2.8561249	2.8072498
Fcrls	-1.1542073	0.9661566	-1.0291444	0.903103
Rfc5	2.068724	1.8676286	2.2370355	1.891273
4930581F22Rik	1.8728924	1.8424392	1.699205	2.23254
Cpd	2.6193519	2.8583257	3.1508162	2.8217306
Mipep	2.0535572	1.727746	2.3212667	2.0245492
Ogfod1	2.0740664	2.0429578	2.4172568	1.8439156
Ranbp10	2.4827538	1.7955353	2.5860636	2.2358012
Asb16	0.32521856	-0.1786273	0.03532458	0.17759134
Gm14023	0.6400056	-0.37089914	-0.06986362	0.57452035
Fscn2	-0.29473066	0.11186626	0.91553766	0.5870857
Uros	2.0893188	1.5807701	2.249519	1.8197339
Trappc11	2.4011838	2.1555774	2.4938047	2.3097339
Prdx2	3.3754704	3.2442153	3.3816767	3.2565122
Gm10320	1.1324545	0.41668782	1.3350098	0.7884707
Mrgprf	2.4018679	2.0386388	2.4077418	2.3558736
Aimp2	2.4807827	2.1094825	2.9202561	2.4281642
Gm20621	0.09541026	0.1647255	0.8689616	0.26161674
Gm49980	2.1142776	1.8400367	2.172079	1.6834729
Zcchc9	3.0589063	2.8067079	2.8685362	2.7666655
Ndufs8	3.1555054	2.929853	3.2769687	2.7492216
Zadh2	2.7628877	2.5268822	2.7828813	2.5206022
Vmn2r1	0.4974624	0.29248843	0.17082255	-0.2433954
Exoc6	1.722836	1.4688303	1.868272	1.4600048
Patj	1.1308316	0.7885295	1.5269066	1.4186769
Ercc3	2.3716056	2.177948	2.3698869	2.2167883
Gtf2ird2	0.8508399	1.3395449	1.8167254	1.0337865
Cfap53	1.7213566	0.9710815	1.3950078	1.4580858
Epb41l1	2.1660492	2.3381982	2.6465251	2.3378546
Tmem106a	2.3348691	2.374121	2.4549954	0.8304818
Il4i1	0.19367483	-0.29091996	0.77275926	0.23156428
Gm45716	-0.9080989	0.7226182	1.712551	-0.31883368
Chst4	0.9081188	1.7090397	0.4952717	-0.6006372
Psma8	0.014588389	0.42416045	1.2770312	0.75413
Krt19	0.6933854	1.7540305	2.1791782	-1.4361356
Pacc1	1.3190119	0.9432557	1.4529449	1.0758117
Zfas1	2.540984	2.9430714	2.7404046	2.9669628
Rhno1	2.4034595	2.163351	2.2023652	1.1498471
Commd4	2.9013236	2.8229265	2.9338043	2.6901333
Ripk2	2.1117682	1.6510087	2.227466	2.0306473
Pdzrn4	0.21366553	0.8161069	0.14672168	-0.0048474185
Cplane2	-0.0671052	0.43117487	-0.56700456	0.94580996
Klrd1	0.41034934	0.43588626	-0.38771614	-0.18656504
Ctxn1	1.0273219	1.0685811	1.2495773	0.5171555
Scfd2	1.8879192	1.4416051	2.2458053	1.844802
Hnrnpul1	2.697532	2.7999802	3.0196667	2.9211404
Elob	3.402543	3.4025717	3.4096923	3.2522345
Cep97	2.152896	2.015285	2.2741647	2.1770484
1700025G04Rik	2.9383314	2.8336482	3.261275	1.7619902
Pnp	3.0860846	2.9180586	3.0408223	3.2764614
Prox2	1.0885555	0.7446883	1.3670982	0.5497711
Jrk	1.020298	0.6476864	1.3003361	0.8022916
Dnajc12	1.4723042	0.90731186	1.5382295	1.0933559
Gm13470	1.2391284	1.3816866	1.8251337	1.024995
2410131K14Rik	2.1036224	1.5560764	2.2180026	2.045423
Rps6ka6	-0.15892127	-0.087413415	0.36838278	0.42787734
Msmp	0.1752684	-0.034340568	-0.083636984	-0.048321847
C030005K06Rik	0.30231783	0.29519418	0.9240278	0.0011671372
Adamtsl2	2.9575238	2.3179922	2.9701698	-0.84070057
BC055402	-0.5540975	-0.37410274	0.649948	0.7536245
Tmem178	0.26442772	-0.0445936	-0.07635574	-0.043299023
Rdh13	1.872045	1.7478977	1.8751147	1.3468163
Utp14a	2.398303	2.586494	2.5005994	2.5188222
Wdsub1	2.6623185	2.4451613	2.7384114	2.5246212
Arnt2	1.2837012	1.179373	1.4800127	-0.46181017
Mapk1ip1l	2.8763564	2.5527792	2.7602634	2.4627855
Ddit4l	1.98017	1.6704656	2.0540307	1.5541235
Ythdc1	2.9432902	3.099396	2.7453716	3.0888228
Fbxo28	2.518921	2.4087884	2.7067194	2.0603323
Mrvi1	2.3049462	2.144502	2.477032	2.1016283
Tmem41a	1.9619241	2.185575	2.5343506	1.915753
Bco1	-0.16912936	0.39696464	-0.22816612	0.32198867
Gcsh	2.6955528	2.6047282	3.06109	2.7581072
Stil	0.51868665	-0.016736258	0.7593122	1.0208616
Gm13431	0.0034823325	0.50183916	0.33851635	0.4094947
Vav3	2.3879735	2.2595675	2.515739	1.5123515
Gm32817	-0.66733	0.5817092	0.77280414	0.27942258
Cox15	1.9789222	1.8273507	2.2128792	1.5406833
Agbl5	1.0700442	0.8095839	1.3798537	1.0645391
Gpr45	0.37678647	0.9420074	0.924593	-1.0040752
B930059L03Rik	0.3370467	0.95957655	0.85065246	0.040805664
Commd6	3.0103674	2.9278333	3.1098115	2.888311
E330032C10Rik	0.76658547	-0.074647866	0.80703574	0.90596235
Vamp9	-0.1603146	0.17167729	-0.22654116	0.23675238
Cfap36	2.7310054	2.827307	2.7074952	2.837768
Gpr63	1.1019772	0.5741291	-0.14805108	0.28907084
Tspan18	2.1587658	1.7050282	2.178132	1.9249164
Ier3	3.0867221	2.7700756	2.989459	3.296161
Olig1	0.24211363	0.17784046	0.2697667	0.43047306
Dcaf7	2.1789448	2.6166868	2.9792411	1.7379837
Gm50064	-0.053466916	-0.033379916	0.24795356	-0.048178624
Klhl38	0.24730527	-0.04068995	-0.08735281	-0.035827875
Unc45a	2.6677508	1.9586226	2.876866	2.035516
Tcta	2.174027	2.5432744	2.8502676	2.2006643
Ccpg1	2.8862302	3.0864174	3.1145887	2.9759078
Ubfd1	2.5721655	2.111227	2.9675744	2.7058558
Cyba	3.3891156	3.3318455	3.4331408	3.2413054
Dnm2	2.678452	2.7720919	2.8638573	2.6925669
Gcnt1	0.74675727	0.37453148	1.5413326	0.8955752
Dgcr8	2.3277392	2.0172944	2.402184	1.9582913
Gns	3.1387253	3.0009212	3.1244369	3.068352
Rbx1	3.336929	3.199623	3.376758	3.1661768
Rabgap1	2.6281228	2.5404308	2.6770892	2.8541815
Gm31814	-0.15890741	-0.09264216	0.34032643	0.42921486
Zfp457	0.3381669	0.8157027	0.35159108	0.74534315
Zfp574	2.0538168	1.7234797	2.1426313	1.5294025
Fgfr1op2	3.1448126	2.9884396	3.0204632	3.0145302
Fbxo48	0.22897886	0.6066757	0.64498115	0.26265287
Edem1	2.7509048	2.3632135	2.8746753	1.9175111
Eml3	2.3530226	2.173882	2.7085266	2.3835394
Ripk3	1.6544194	0.9135999	1.3107632	1.2802962
Rtn4ip1	1.0255775	1.10638	1.3127922	0.7165148
Pphln1	2.377203	2.2157495	2.2993824	2.357058
Slc8a3	1.4158974	1.4718398	1.725405	1.275229
9130023H24Rik	1.5233587	0.95184547	1.1373848	1.2445852
Nsfl1c	2.8890347	2.7026145	3.1987717	2.4287252
