gene	bin_0	bin_1	bin_2	bin_3
Gap43	-0.8318131	0.2554093	0.23404741	0.264594
Hdlbp	3.5957637	3.6408424	3.6211526	3.7126732
Cox20	3.4911733	3.6018233	3.283829	3.5661075
Tmem205	3.3466346	3.1777506	3.4375515	3.5056133
Ift122	2.441609	2.8543196	2.9141407	2.8854074
Fam13c	3.459276	3.310884	3.1415105	3.5777218
Eid1	3.6123	3.6794875	3.7132616	3.4826992
Malt1	2.991878	3.0892026	2.8629425	3.321304
Iqgap1	3.6094446	3.7194903	3.7044847	3.731349
Gm44946	0.42045748	0.6816299	0.54531366	0.61906374
Pard6b	0.2480568	0.5871481	0.46135843	0.53652346
Hnrnpll	2.9479854	3.1915963	3.3120692	3.270327
Hk3	0.12352562	0.45201495	0.46017918	0.4793174
Helb	2.3704233	2.8317192	2.8701568	2.601055
Napsa	0.21318787	0.38751546	0.06568932	0.328416
Ccdc152	2.0397508	2.5181403	2.4592729	2.57181
Got1	2.3102407	2.7997122	2.8647635	2.9465463
Vmn1r90	0.4508339	0.6938527	0.38108063	0.72133034
Phkg1	3.0931253	3.2327702	3.341923	3.147953
Ankrd10	3.1421454	3.465243	3.4387593	3.2873533
Mcmdc2	0.8425972	1.4031545	1.2514464	1.4753879
Serpinb6b	3.4935887	3.2932637	3.3030849	3.6116707
E330020D12Rik	0.1242949	0.2588501	-0.38597745	0.2683616
Msmp	0.6487163	1.1217847	0.9846024	1.1190892
Rmrp	1.7972884	2.3161583	2.2543187	2.2726593
Xlr4a	0.30453873	0.7500804	1.2135006	1.3845906
Wdr13	2.9731164	3.1918724	3.271977	3.0617325
Sord	2.76865	3.0444155	3.3642206	3.2525263
Gm42699	1.1594416	1.3737192	1.3992901	1.5372962
Pawr	3.3156438	3.6400802	2.9396603	3.5984674
Fgf2os	1.6973197	2.022796	1.9059317	2.00817
Dmd	3.5756412	3.7638617	3.7490566	3.7936954
Tsga10	2.8320062	3.1967826	2.85907	3.2034507
Rerg	0.33983624	0.47514275	0.5626335	0.03958416
Nthl1	2.81748	3.0679374	3.0935671	3.2164583
Rarres1	2.5609653	2.8259892	2.9551096	3.05782
Rbm44	1.4545522	2.0575688	1.951838	2.0779812
Pcnx3	2.7630906	3.1701767	3.0893095	3.064115
Trappc4	3.3111267	3.459107	3.1607676	3.5292635
Gm34829	0.6083597	1.0994323	0.70843583	0.94160587
Olfr172	0.3069849	0.59839326	0.5806568	0.5371042
Mtcp1	1.93923	2.439723	2.3748772	2.513947
Rrp9	2.8239083	3.0934649	3.1896183	2.923326
Tert	0.6636652	1.0453643	1.0234149	1.0065901
Kat14	2.543851	3.0048351	2.9295647	2.9509134
Col6a2	3.5894222	3.6970873	3.6886165	3.5495112
4930483P17Rik	0.36427063	0.6361835	0.61744314	0.13559273
Sars	3.2715266	3.4795842	3.5359566	3.524277
Tsc22d3	1.3538144	1.9810038	2.7978127	3.0186954
Chd8	3.2883961	3.4075985	3.2576811	3.2672646
Gm17399	0.33979255	0.24661562	0.5509492	0.4832699
Map3k19	1.1958152	1.1592796	1.0895686	1.1348399
Cep104	2.8464732	3.058906	3.049362	3.215473
Dbt	2.9579947	3.0739794	3.416467	3.2961109
Chchd5	2.7598314	3.0171444	3.0911837	3.1485245
4930581F22Rik	2.1945574	2.861691	2.8015647	2.6788602
Sox5it	0.32835153	0.40596128	0.22015026	0.47301254
Ric8b	2.7484295	3.063706	3.0572183	3.0334415
Orc2	2.9152296	3.2237859	3.1744165	3.0232806
Zfp385b	2.5297377	2.8821328	2.8411272	2.7704759
Hist1h2bh	1.3330591	1.6804461	1.7264987	1.7599723
Gm42868	0.109237894	0.5861228	0.46635708	0.5525318
Ppp4r1	2.8089957	3.1010783	3.0063775	3.1001902
1700047M11Rik	-0.27510756	0.30814382	0.35774568	0.4632251
Dazap1	3.0858514	3.0454664	3.4636712	3.4333816
Gm47767	2.1297667	2.5954754	2.5925114	2.6700382
C1galt1	3.151967	3.4866514	3.2954972	3.3208055
Gm11808	2.611682	3.3424697	3.0720627	3.2381685
Racgap1	1.1581999	1.4558301	1.4443363	1.3127214
Aktip	3.0125897	3.2142382	3.5628018	3.563207
Dact1	2.3846104	2.9899583	2.7851324	2.7626863
Gm50336	-1.0582327	0.88285005	0.651006	0.7807261
Pik3r1	3.3060527	3.0395198	3.200714	3.5216053
CT868723.1	0.42585447	0.5193307	0.4327541	0.39238575
Abhd6	2.6502192	3.0098326	3.0196588	3.0229099
Zfp993	1.4102137	2.0450506	1.9653383	1.9854618
Tnpo1	3.20574	3.39994	3.399699	3.3898425
Pigo	1.7448555	2.319772	2.2155156	2.281953
Csrnp2	1.5129946	2.2648003	2.226865	2.343843
Marc2	3.3078008	3.5059276	3.578036	3.4912047
Nedd9	3.2422101	3.5784037	3.202274	3.61
Dhrs9	1.3895682	1.8296642	1.66664	1.7280272
Art3	2.7053008	2.4495997	3.2882116	3.3081045
Rab5b	3.2878797	3.38106	3.49947	3.3449807
Klhl15	2.4154136	2.823698	2.8283236	2.8765516
Pros1	3.0461621	3.1998696	3.3893435	3.4292345
Nat2	2.0400786	2.4857848	2.421647	2.4837313
3010003L21Rik	1.6782643	2.1114326	1.9917929	2.156529
Gm29237	0.64500445	1.2553099	1.2193247	1.2210228
Gm17191	-0.01903371	-0.054699644	0.47191945	0.4795836
Mrpl53	3.252737	3.4793873	3.505793	3.5196745
Wdr59	2.2041245	2.6359274	2.6075137	2.7211974
Gm19792	0.3336143	0.63565546	0.4623823	0.11834195
Gm21269	0.6838044	0.9077792	0.9692501	1.0297158
0610025J13Rik	-0.36724034	0.5503425	0.46129876	0.559135
Cldn19	0.13290742	0.2583931	0.23645915	-0.094351225
F2rl1	1.1828243	1.4710552	1.5947298	1.4568247
Cdo1	2.4942803	3.551144	3.6004112	3.63249
Fam25c	2.0215118	2.5896177	2.4384942	2.4467976
Gm20743	0.52828056	1.2385559	1.2400755	1.2300378
Mamstr	2.220974	2.682402	2.559799	2.5054102
Exph5	0.13374531	0.25623298	0.22720508	0.06641344
Lrrn2	0.925619	1.1762025	1.1496841	1.38019
Slc38a10	3.0535345	3.1836097	3.3043427	3.441493
Ankk1	0.33836508	0.4904541	0.47027722	0.45471418
Gm37637	0.19199733	1.0340718	0.94751775	1.0352343
Gm33195	0.38093606	0.8098791	0.78772235	0.7751777
Gm33280	-0.28943807	0.57645655	0.71447307	0.66537124
Skil	3.4469113	3.6320262	3.3037434	3.560102
Ttc25	0.6104284	0.7500928	0.95463794	0.9162264
Fnbp1l	2.8174865	3.0111432	3.020873	3.244221
Cntd1	1.2444731	1.6293879	1.5751854	1.4784051
Zdhhc20	3.2256827	3.447506	3.382127	3.191739
Gm15706	1.6338143	2.1422796	2.1468816	2.210889
Sdf2l1	2.4914603	2.1703296	1.6561135	2.783768
Gm49970	1.1625266	1.2848811	1.4133428	1.4964899
Yif1b	3.3124063	3.4573271	3.3976686	3.5591602
Ecsit	2.8598785	3.1145155	3.2794938	3.1596305
Gm11008	0.58168715	0.88072425	0.7348135	0.7472802
Taf6l	2.2543817	2.5879092	2.6403806	2.7428067
Slc35f6	2.6655445	3.0528092	3.0149405	2.95535
Rp9	3.4194474	3.5398264	3.4447823	3.579968
Znhit1	3.3134313	3.412353	3.230639	3.6017723
Smo	3.133981	3.300921	3.2935977	3.2861092
Haus4	2.1086867	2.473214	2.4948168	2.5494738
Tyw1	2.787228	2.8777428	3.129044	3.1209683
Ogg1	2.3753445	2.8428926	2.749525	2.6906767
Cep97	2.5065122	2.8481371	2.8257008	2.9607882
Ccnd3	3.2996347	3.521444	3.4750028	3.4599497
Ddx21	3.3014345	3.1732433	3.1211848	3.4921958
Gm44190	0.63052493	1.4678471	1.373161	1.4180161
Usp45	2.9736478	3.2175336	3.1711936	3.1389074
Kif19a	0.0901773	0.4793043	0.47738984	0.2311801
Bcl7b	3.3894248	3.4204824	3.4506104	3.596881
Dtl	1.1612325	1.5440814	1.592128	1.5736238
Scn7a	0.753637	0.9287943	0.8539514	0.9395728
Polr3b	2.2851248	2.7142634	2.651231	2.7173266
Rnf187	3.5422785	3.5866008	3.5514238	3.6886427
Gfra1	0.72200656	1.1265615	0.94411045	1.0368071
Gm5084	0.3432537	0.21840598	0.5844098	0.4524806
Ttll7	3.470195	3.5497565	3.404889	3.613631
Zfp114	1.6190472	2.2086747	2.1173816	2.089902
Zfp7	1.8232145	2.1450918	2.2506657	2.2365777
Impa1	3.4062989	3.4402525	3.4635363	3.491339
Zfp740	2.8757682	3.1778858	3.2249353	3.1196525
Tpbg	1.6660736	2.0546582	1.9444835	2.0925517
Rrp8	3.0432124	3.1612809	3.3694887	3.1132486
Trappc5	3.16563	3.1286757	3.387784	3.4052677
Rtel1	2.0285416	2.577141	2.4295952	2.5893373
Plin2	2.8744984	2.9730663	3.3709078	3.3810546
Smagp	0.6335136	0.9735065	1.0330949	0.9564728
Tfdp1	2.7067494	3.023513	3.2294028	3.1329138
Rdh5	2.7204833	3.0346549	3.0903895	3.0058374
Nacad	2.961	3.3133783	2.8392587	3.2422082
Procr	0.2954305	0.65293556	0.5328817	0.8765156
Zfyve21	3.2135756	3.221622	3.5127637	3.445237
Krt79	1.279801	1.5139009	1.6159996	1.6251945
Irx3os	0.57604915	0.7557282	0.6361597	0.67239845
Gm48242	-0.3559662	0.06302257	0.36090147	0.37919345
Mrps14	3.4807444	3.654129	3.645127	3.6009512
Mrps6	3.3740788	2.9674551	3.266511	3.5391238
Gm20463	0.6737124	0.9299486	0.5140318	0.41279757
Shkbp1	2.4558053	2.7714753	2.8332596	2.9289315
Mapk12	2.2049232	2.611953	2.5242205	2.412377
Calhm4	-0.015852874	0.58686244	0.48448476	0.18073277
Ppp4r4	1.2427574	1.6382056	1.7009151	1.6372112
4930479D17Rik	0.33920226	0.48166612	-0.780923	0.4781132
Hivep2	3.1302693	3.2923985	3.48481	3.1922605
2410022M11Rik	2.3879712	2.684506	2.818329	2.8450892
Usp43	0.48444912	0.6035365	0.53792965	0.873824
Sorbs1	3.2431605	3.1623404	3.5362766	3.4292784
Lrrc7	0.97354674	1.325191	1.4137088	1.3751378
3110006O06Rik	0.38876742	0.034720827	0.47791246	0.50430095
C9orf72	2.6042318	2.9557798	2.8557615	3.0100927
Mast2	3.036368	3.0913823	3.1101732	3.37716
Hist1h4c	1.8999386	2.4836872	1.8798676	2.5552235
Vps35	3.3706596	3.381946	3.6056893	3.6070216
Prdx1	3.6401234	3.7570899	3.7272398	3.7615666
Wasf1	1.3057127	2.4422898	2.2350044	2.4767563
Trmt44	2.2678795	2.8414855	2.6827989	2.8004594
Gm26682	0.92100424	1.3502365	1.2043127	1.4176661
Adap2	0.28972805	0.59931254	0.5199397	0.69108576
Naip2	0.13273588	0.25566015	0.2395041	-0.1308371
Paqr6	3.0179741	3.4431753	3.1490264	3.232203
Plec	3.4769087	3.589856	3.4829233	3.2975035
Chtop	3.2510939	3.2156334	3.4798787	3.567834
Hcar1	0.5653003	1.0199827	1.0870404	0.95248485
Lrrc61	1.8797414	2.47284	2.424996	2.5362005
Btbd3	2.6769464	3.0482142	2.9395218	3.0439672
Tyms	2.2616243	2.9342322	2.923053	2.9366984
Rbpms2	3.355178	3.5070112	3.6144133	3.4870946
Hoxc10	0.7953441	1.101541	1.0715715	1.1959755
Cyp1b1	2.1980999	2.7321477	2.5370357	2.788801
Pcgf5	3.234376	3.3345737	3.51039	3.6220417
Gm10432	1.457795	1.9310371	1.8924985	1.9798877
A630072M18Rik	1.9885842	2.717096	2.7050445	2.7937381
Gm31462	0.337256	0.48288244	0.57674086	0.151995
Trim32	2.6117742	2.931132	3.1327922	3.0683029
Zfp607a	1.9182273	2.3483274	2.2922184	2.423377
Sla2	0.46239325	0.49892798	0.70821756	0.72677565
Insyn2a	0.16979954	0.62492406	0.24122924	0.48094735
Atg4b	2.9792728	3.050887	3.2327476	3.3085184
Gm49886	0.8767767	1.101764	1.119474	1.1652036
Mkrn2os	0.5866421	0.67167765	0.707426	0.75461096
Polr3h	2.5507863	2.948061	3.0823488	2.9369187
Psmc3	3.5513384	3.5973206	3.679673	3.6812992
Zfp873	2.100315	2.5841014	2.5522413	2.5796943
Fanca	0.30393195	0.7773739	0.5340774	0.8030323
Alas2	0.28976095	0.4351863	0.29254287	0.28826955
Irf2bp1	3.055264	3.0884922	3.3364434	3.3019567
Rhbdd1	2.7263138	3.0344963	3.0375676	3.0536168
Ibtk	3.0116982	3.0692558	3.2163029	3.3170507
Clca3a1	0.46801153	0.59083	0.55405754	0.82446724
5330438D12Rik	1.7192653	2.2213087	2.2096722	2.3980532
Camta1	2.7776992	3.4513311	3.5417318	3.5156865
Tmem259	3.2504663	3.165951	3.4962516	3.4940543
Ddx51	2.1702294	2.6739454	2.657938	2.7773688
Entr1	2.9057732	3.0356023	3.1005611	3.2629218
Gm35065	0.3147226	0.6607286	0.54326224	0.7464706
Adgrb1	0.854523	1.5965132	1.4812908	1.5458349
Gm43387	1.0971088	1.6870538	1.6114153	1.656234
Ackr2	0.21279457	-0.27610797	0.35721922	0.3767781
Ankrd13a	3.0296397	3.1758125	3.0705314	3.3070831
Ppp2r5a	3.3968685	3.5259366	3.3520503	3.4656568
Plcxd3	0.500141	0.7965988	0.7571011	0.9608491
Lix1	1.8063747	2.3111274	2.2057052	2.29981
Zfp280c	2.3772767	2.7568305	2.7487013	2.5457184
1190005I06Rik	3.5765088	3.7119255	3.6865726	3.6931427
Pdcd7	3.0053165	3.195552	3.265696	3.2804186
1700088E04Rik	1.6478157	2.3436918	2.2448783	2.2799315
Tceal9	3.52803	3.7306	3.7119617	3.705765
Atg4a	2.5552766	2.8879557	2.99072	3.0717115
Skint8	0.22310838	0.37597832	0.3604947	0.036477342
Fam78b	2.0350657	2.5525925	2.3729823	2.3776305
Klrg2	1.4124614	1.9051108	1.9399526	1.99527
Cyb5d1	1.6619914	2.109804	2.0976832	2.313649
Tecpr1	2.952253	3.1598237	3.1312335	3.2824042
Usp13	2.8359041	3.2205293	3.088917	2.9515975
Hist1h3a	0.9336562	1.42275	1.2987417	1.4837583
Gm26739	0.48619753	0.6802836	0.65239954	0.71124035
Gm42504	0.2852686	0.525536	0.50560963	0.5690561
Ivd	3.1016204	3.0086594	3.18017	3.4449677
Dhx57	2.684976	3.122123	2.954597	3.0362048
Atp1b1	2.5646763	3.4053636	3.364264	2.6008089
Gm6787	0.4911767	0.78298026	0.65166575	0.65576285
Edem1	3.168054	3.3325622	3.1602137	3.434989
Zdbf2	1.8290039	2.4107313	2.3448296	2.4574356
Fhl4	0.9310511	1.45679	1.346493	1.4906675
Pex11a	1.5825133	2.3533213	2.382296	2.52823
Snhg5	2.7412195	2.9900935	3.1102278	3.0407395
Swap70	2.723291	3.202171	3.1421776	3.3351855
Med31	3.2306387	3.4243698	3.3788464	3.2859116
Hvcn1	0.12829512	-0.5609195	0.23532444	0.26197228
Mtss2	3.037112	3.1412272	3.3240538	3.0479176
Bfar	3.1595154	3.2293148	3.4952724	3.3904712
Loxl3	3.0604992	3.0895414	3.1892784	3.3390105
Gm31812	0.62539387	1.1206663	1.2015096	0.914265
Hist1h1a	1.1259773	1.593878	1.4494362	1.6327022
Gm30556	1.088019	1.8792398	2.0078306	2.0693145
Scfd2	2.1727347	2.7067518	2.6760287	2.6783772
Gemin6	2.403391	2.8730824	2.8749812	2.9357505
Rnf220	3.1703768	3.1641665	3.3100028	3.3937244
Yme1l1	3.290002	3.5009964	3.4238029	3.4911227
Cog4	2.9291956	3.0476	3.16946	3.2599103
Zfp551	1.7006501	2.106052	2.061814	2.1575675
Tsn	3.533137	3.6538374	3.6504354	3.5751574
Mto1	2.6086392	2.8654888	2.8393288	2.994069
Parn	2.8617308	3.1957505	3.2292628	3.0925064
Ccser1	0.04479725	1.051858	1.0650511	1.1035156
Ski	3.447877	3.5938447	3.6425521	3.497589
Itgbl1	3.5383518	3.6773982	3.5650983	3.560634
Gm42903	0.36832026	0.68535364	-0.29317883	0.49809593
Slc33a1	2.93832	3.0723927	3.159711	3.261966
Gnl2	3.0459177	3.1638522	3.173121	3.2430146
March8	3.05752	3.0798988	3.3251143	3.350998
Akna	1.8419815	2.397929	2.3664248	2.4142516
Stx5a	3.1138558	3.4172823	3.3285944	3.3893688
Ttc39c	2.2291932	2.5620599	2.6542203	2.6931791
Dnph1	0.9346773	1.3054466	1.21381	1.1306788
Myoz2	2.4469893	3.0204508	3.481971	3.508466
Topors	3.2465775	3.3461294	3.4800463	3.1433575
Creb3	3.079923	3.399503	3.4955075	3.185108
Cebpa	1.2365831	1.5896691	1.5702238	1.7588775
Irgm1	2.4760418	2.8771665	2.8618815	2.8838944
Dock5	2.455302	2.5362887	3.030502	3.0952737
Gm42743	0.8890006	1.2277454	1.0897685	1.148635
Pla2g4a	2.926827	2.7775319	3.506694	3.581558
Wapl	3.3749764	3.5621	3.50851	3.4737976
Gm4221	1.3092462	1.9924105	1.895116	2.001172
Gm42681	-0.109741904	0.5973766	0.48641965	0.6278809
Npy	0.13222486	-0.003695981	0.23723201	0.2638891
Aarsd1	3.2542512	3.3905733	3.5344203	3.2490873
Ippk	2.452095	2.763168	2.8143265	2.948974
Btg2	3.6833436	3.7891273	3.6460288	3.652456
Ammecr1l	2.8954542	3.1959138	3.072009	3.234261
Gm37885	1.1930887	1.7045275	1.5251924	1.577854
Slc2a12	1.8999726	2.3094232	2.3455813	2.3702617
Plpp2	2.662387	2.9778016	3.006017	3.0492477
Fam160a2	2.806507	3.1108227	3.0781507	3.0733538
Pigz	1.89131	2.2472024	2.2560706	2.2841964
Phc1	2.6338327	3.0212953	3.067015	2.9937434
Zfyve1	2.5419466	3.002226	2.9104524	2.90637
Gm9796	0.56008804	0.7132056	0.5938086	0.8368843
Ctrl	0.3518433	0.59910715	0.5831563	0.59955543
Kdm4b	2.569141	2.9289935	2.914524	2.9913104
2900026A02Rik	3.448789	3.386981	3.5607982	3.629667
Kdm4c	2.8522084	3.2270687	3.1358938	3.0549374
Ass1	1.7231641	2.133011	2.0763578	2.2805438
Kif18a	1.5565779	2.047505	1.9327388	2.0827234
Mpv17l	2.9584491	3.077464	3.2622197	3.0170135
Samm50	3.3351495	3.5053039	3.495656	3.4847558
Ythdf3	3.1999383	3.3702643	3.3317056	3.3286288
Cd276	2.4454713	2.983251	2.7605548	2.8212645
Skp1a	3.531724	3.6261704	3.6520803	3.6805637
Ilf3	2.9534526	3.1233418	3.3002257	3.3292584
Aifm2	2.5209098	2.9298284	2.8976758	2.8393714
Sh3bp5	1.3594456	1.6457562	1.6912247	1.8026904
Gm38405	0.21663582	0.11344762	-0.017464254	0.37859696
Sbk1	2.0382423	2.5093687	2.3954244	2.5519886
H6pd	2.7649503	3.1159284	2.9602993	2.924261
Cradd	2.6762578	2.9683845	3.0056894	3.0880344
Mindy4	1.9970677	2.5308096	2.4321384	2.5544815
Ago1	3.0354297	3.1629832	3.2434096	3.1932645
Fam161b	1.8051544	2.366534	2.1989563	2.205522
Vps26b	2.7960663	3.2187355	3.0571392	3.0951273
Homer2	1.2771697	1.9923279	2.2159488	2.119843
Eif2b2	2.8792574	3.1845064	3.2416198	3.0772998
Mall	0.7069595	0.9185094	1.0988506	1.0467765
Sbno1	3.4080305	3.5021405	3.4823716	3.5131617
Tceanc	1.9525592	2.4464328	2.2930965	2.4382098
Foxq1	1.647771	2.0975394	1.850769	2.1775396
Akap8l	3.1012757	3.2867267	3.1847432	3.26565
Acss3	1.4157212	1.8886269	1.7186844	2.034281
Zfp729a	2.4471838	2.9662688	2.8810098	2.776363
Gm27028	0.47872302	0.9993268	0.66240853	0.89924866
Ldhb	3.5383031	3.5780087	3.680632	3.6879199
Ppih	2.6201892	2.8101304	2.974498	3.0458379
Slc37a2	1.4528238	1.990471	1.8581107	1.6735524
4933427E11Rik	0.2263657	0.38318607	0.36161906	-0.2308738
D3Ertd751e	2.4810674	2.940983	2.853771	2.8713605
Gm44698	0.0609306	0.4770223	0.23781599	0.5301462
Pias3	2.8942466	3.2372534	3.134211	3.0810766
Zfp773	0.9140718	1.4399333	1.2681495	1.4107305
Tmem159	2.7760723	3.227417	3.376429	3.191526
Fcgr1	0.28273422	0.4435764	0.42419994	-0.29606798
A730020E08Rik	0.43992448	0.5214801	0.7626863	0.8300747
Cd6	0.55192775	0.96735007	0.9790992	0.8398371
Gm43112	0.75641483	0.876909	0.99527514	0.9326645
Gm44148	0.38431203	1.0860713	1.1819212	0.81579983
Gm16754	0.51121616	1.1155295	1.041027	1.1060665
Tlr6	0.8999083	1.2843064	1.2814234	1.3909963
AI854703	0.94355863	1.1342189	0.9831374	1.2260482
Smc2	2.6706533	2.7226999	3.093802	3.1732473
Cript	3.2664135	3.417636	3.5836062	3.5991726
Izumo1	0.4721226	0.714692	0.6816653	0.72066754
Nop56	2.9946725	3.415591	3.4226491	3.3723712
Atad3aos	1.8303682	2.4028435	2.3418555	2.2467434
C130046K22Rik	1.0035458	1.240573	1.3086592	1.2664639
Trip12	3.283394	3.4600935	3.3810894	3.4267843
Gm5141	1.8192387	2.3951485	2.2886314	2.4215267
Gm29394	1.1390836	1.5543427	1.5517603	1.6355215
Sfmbt2	2.0488844	2.5737963	2.442643	2.5526755
Lmod1	3.201572	3.7893283	3.8111594	3.788971
4930509G22Rik	0.62460965	1.0633957	1.1541648	1.1746782
Gm38407	0.03701084	0.6041864	0.2826546	0.45150074
Usp37	2.654971	2.9719691	3.0510945	2.9969294
Tmem214	3.0645459	3.0920787	3.2499444	3.3671396
Cmtm5	0.115974315	0.44357947	0.4294533	-0.067443095
Fam126a	2.9074695	3.1939774	3.1858277	3.3154774
Cpa3	0.13273764	0.05158278	0.24354509	0.25705555
Nolc1	3.167901	3.3011518	3.2305946	3.2323456
Gm49086	0.50128305	0.52944857	0.50041014	0.38061583
Psmc4	3.3452575	3.587125	3.547722	3.655413
Sgo1	0.92548776	1.2129598	1.2408867	1.359733
Vps35l	2.8336327	3.1155317	3.1860497	3.2484298
2610027K06Rik	2.1483157	2.6764612	2.6150181	2.6457384
Pphln1	2.7635503	3.0787833	3.0643985	3.1431243
Mtmr14	2.6430123	3.0281746	3.0512264	2.9081502
Ttn	1.1481417	1.6817765	1.7096715	1.7590293
Zfp316	2.2772164	2.812405	2.6965835	2.7868922
Mfsd4b1	1.2688208	1.7158488	1.577827	1.5308975
Lgals9	1.6370368	2.0156224	2.0256712	2.1306329
Osr2	1.8979138	2.2745109	2.4293854	2.2399933
9230114K14Rik	2.75038	3.129569	3.1854746	2.914574
Ebf4	1.9008528	2.4549956	2.342654	2.4985015
Foxd2os	0.7905421	1.1709878	1.0002244	1.0934415
Pcna	3.1477592	3.2641776	3.4317458	3.3316162
Tomm40l	2.8428364	3.0899668	2.966034	3.216866
Kcnj12	1.3934149	1.9341124	1.9315195	1.9459896
Mmp23	3.3566816	3.5687284	3.6706572	3.6666732
Tmem150a	2.9255662	3.2286725	3.0726483	3.20916
Gm43466	1.5501902	2.122655	1.9139441	1.9433681
Zfp2	2.2700136	2.7374873	2.750698	2.7668917
Kif21a	1.721741	2.3886328	2.2920372	2.4079041
Lrch2	2.7653995	3.1659606	3.1619782	2.9058409
Coq4	2.6497116	3.0189226	2.9113693	3.0819197
R3hdm1	3.2567875	3.2862592	3.4711916	3.4423447
B230369F24Rik	1.7911352	2.4810808	2.3823898	2.489459
Dnajc3	3.5657597	3.663032	3.5555305	3.6943164
Zfp523	2.757429	3.0076058	3.132212	3.0866446
Desi2	3.422207	3.6185102	3.398391	3.3932498
Gm11266	2.1457493	2.5571907	2.4667485	2.6128795
Cygb	1.5013894	1.809021	1.9007628	1.8942828
Vmn1r81	0.11226003	0.69267225	0.5783859	0.7853376
Fam219a	2.503404	2.7972567	2.929593	2.9540534
Agap3	2.9074209	3.1603618	3.2752097	3.189041
Cgas	1.1911871	1.6361101	1.5901499	1.5687885
Gm9888	0.5189401	0.8916397	0.7553882	0.90620124
Tle2	2.5780933	2.6280994	2.9079604	3.0290346
Wipi2	3.091514	3.0733132	3.3780692	3.2436395
Nr2c2	3.1838748	3.2943022	3.4358532	3.27187
Gpn3	2.845723	2.9989765	3.2738767	3.2761893
Nt5c3	2.6346645	3.1577873	3.1671119	3.181408
Qrich1	2.9479527	3.1455977	3.2770674	3.2533345
Nup43	2.3897557	2.824731	2.7541068	2.8545222
Vwa3a	1.5646992	2.0217032	2.066119	2.124853
Clptm1l	3.299796	3.2962222	3.4488137	3.3806624
Serbp1	3.635243	3.7356822	3.751409	3.7354636
Gm17746	0.53502715	0.9076631	0.8819015	0.955989
Gm20939	1.6018826	1.9742069	1.9207077	2.0433614
Cd164l2	0.3887024	0.67977154	0.24558413	0.5337545
Zfp532	2.897003	2.9980996	3.1076605	3.2081966
Nusap1	1.2781072	1.8361201	1.6055698	1.8104984
Ttc27	2.3372564	2.8153594	2.7933385	2.7189107
Tox	0.47279835	1.0318753	1.0179403	0.9717897
Gm44170	0.39995098	0.5190909	0.25397396	0.7094264
Mars2	2.164193	2.6983945	2.6307855	2.7332761
Duox1	0.12653774	0.259936	0.2433515	-0.07147378
Rgn	0.39310944	0.62074995	0.04206272	0.6353455
A730085K08Rik	0.37629467	0.54407203	0.35461608	0.5775359
Depdc7	1.2876701	1.6237391	1.6325767	1.6037157
Zfp689	1.8157572	2.4152975	2.221474	2.3576422
Poc5	2.507084	2.8837466	2.944947	2.9380965
Kcnj10	0.21831374	0.37464333	0.105821215	0.06807226
Gm11536	0.5768136	1.0193738	0.6998378	1.0636053
Yod1	2.770762	2.831699	3.1352684	3.1118329
Daam1	3.2489371	3.5288112	2.9149103	3.2950819
Kctd16	2.5555956	3.0273876	2.7397954	2.8874094
Eif6	3.1375706	3.4821503	3.5564313	3.3385127
Gm47123	1.7801356	2.179541	2.165302	2.2005332
Ssh1	3.104616	3.3299704	3.3063338	2.9750018
Inip	2.5050106	2.7488048	2.943407	2.9111867
Gm41442	0.6086997	1.1262027	0.92650074	1.0263313
Ankrd26	2.653216	3.0604115	2.819858	3.0477142
Mndal	0.46067935	0.7391393	0.70522887	0.53016275
Cyyr1	0.3386148	0.032210782	0.47388917	0.6034467
Adnp2	2.8144946	3.1426704	2.7460182	3.1707108
Npw	0.43956915	0.5369122	0.7134	0.25270432
2810442N19Rik	0.9478729	1.1940689	1.2622936	1.3726419
Gm26586	0.5116777	1.0792049	0.9703089	1.0808295
Apobec2	2.275504	2.6358838	2.5043113	2.6316667
Gm45371	0.45180333	0.78054476	0.87521046	0.88998276
Shprh	2.9965544	3.129609	3.2575245	3.2856915
Htr6	0.28480226	0.3488371	0.42743593	-0.020147711
Yif1a	3.1308563	3.3733163	3.3819327	3.4822361
Bin3	2.447706	2.8556952	2.8555279	2.872591
Cxcl2	0.65373236	1.0706385	1.0632863	1.0326825
Lgi4	1.4603963	1.84203	1.8046267	1.983043
Gm53	-1.5979912	0.60040957	0.46387228	0.47543076
Thumpd2	2.2541077	2.6629941	2.643604	2.7169135
Sowaha	0.11958757	0.026421644	0.23699504	0.26099283
Cenpj	1.8762003	2.4260342	2.4007428	2.4594789
Ppp1r16a	2.5804198	2.861923	2.9632895	3.0702841
Gm15411	1.4187007	1.9816	1.70729	1.8989763
Abr	2.6598186	3.0303242	3.1532419	3.0097818
Manba	2.3999429	3.0982091	3.0794702	3.056982
Atad3a	2.763201	3.0970614	3.0274746	3.0609434
Gm44836	0.3982325	0.48403728	0.5604418	0.47594815
Fam234b	2.073417	2.5536954	2.5206957	2.5961385
Sp100	1.0944039	1.6791701	1.5377656	1.6225742
Slc4a2	3.0206504	3.1327593	3.205659	3.3400264
Zc3h7a	3.0495005	3.3545032	3.1585617	3.3323147
Timm50	2.810135	3.1392863	3.2875757	3.3831034
Mir17hg	1.5008067	1.9797664	2.131507	2.1386228
